,ngram,company,value
0,credit_report,Total,7036
1,credit_card,Total,3577
2,make_payment,Total,2227
3,customer_service,Total,1585
4,credit_reporting,Total,1430
5,call_back,Total,1390
6,phone_call,Total,1390
7,collection_agency,Total,1386
8,credit_bureaus,Total,1345
9,credit_score,Total,1305
10,30_day,Total,1270
11,student_loan,Total,1260
12,report_credit,Total,1206
13,interest_rate,Total,1192
14,receive_letter,Total,1065
15,loan_modification,Total,1051
16,late_payment,Total,1050
17,late_fee,Total,1045
18,even_though,Total,1017
19,would_like,Total,1006
20,send_letter,Total,999
21,never_receive,Total,960
22,monthly_payment,Total,949
23,reporting_agency,Total,884
24,identity_theft,Total,867
25,phone_number,Total,859
26,pay_full,Total,850
27,tell_would,Total,836
28,file_complaint,Total,831
29,past_due,Total,824
30,payment_make,Total,823
31,credit_bureau,Total,801
32,remove_credit,Total,794
33,social_security,Total,773
34,mortgage_payment,Total,763
35,please_help,Total,759
36,several_time,Total,749
37,credit_file,Total,749
38,year_ago,Total,736
39,say_would,Total,727
40,debt_collection,Total,709
41,mortgage_company,Total,701
42,debt_collector,Total,695
43,collect_debt,Total,661
44,receive_call,Total,607
45,try_get,Total,594
46,short_sale,Total,569
47,information_credit,Total,569
48,day_late,Total,545
49,us_bank,Total,540
50,credit_report,Union bank,827
51,credit_card,Union bank,112
52,make_payment,Union bank,19
53,customer_service,Union bank,29
54,credit_reporting,Union bank,204
55,call_back,Union bank,7
56,phone_call,Union bank,33
57,collection_agency,Union bank,55
58,credit_bureaus,Union bank,154
59,credit_score,Union bank,136
60,30_day,Union bank,97
61,student_loan,Union bank,45
62,report_credit,Union bank,145
63,interest_rate,Union bank,18
64,receive_letter,Union bank,35
65,loan_modification,Union bank,3
66,late_payment,Union bank,52
67,late_fee,Union bank,7
68,even_though,Union bank,47
69,would_like,Union bank,70
70,send_letter,Union bank,69
71,never_receive,Union bank,43
72,monthly_payment,Union bank,17
73,reporting_agency,Union bank,141
74,identity_theft,Union bank,108
75,phone_number,Union bank,39
76,pay_full,Union bank,48
77,tell_would,Union bank,16
78,file_complaint,Union bank,73
79,past_due,Union bank,38
80,payment_make,Union bank,18
81,credit_bureau,Union bank,225
82,remove_credit,Union bank,116
83,social_security,Union bank,76
84,mortgage_payment,Union bank,5
85,please_help,Union bank,40
86,several_time,Union bank,50
87,credit_file,Union bank,131
88,year_ago,Union bank,42
89,say_would,Union bank,14
90,debt_collection,Union bank,22
91,mortgage_company,Union bank,12
92,debt_collector,Union bank,16
93,collect_debt,Union bank,10
94,receive_call,Union bank,5
95,try_get,Union bank,39
96,short_sale,Union bank,4
97,information_credit,Union bank,106
98,day_late,Union bank,44
99,us_bank,Union bank,1
100,credit_report,ICICI bank,655
101,credit_card,ICICI bank,96
102,make_payment,ICICI bank,20
103,customer_service,ICICI bank,34
104,credit_reporting,ICICI bank,152
105,call_back,ICICI bank,12
106,phone_call,ICICI bank,22
107,collection_agency,ICICI bank,54
108,credit_bureaus,ICICI bank,124
109,credit_score,ICICI bank,118
110,30_day,ICICI bank,100
111,student_loan,ICICI bank,48
112,report_credit,ICICI bank,116
113,interest_rate,ICICI bank,9
114,receive_letter,ICICI bank,31
115,loan_modification,ICICI bank,3
116,late_payment,ICICI bank,53
117,late_fee,ICICI bank,1
118,even_though,ICICI bank,20
119,would_like,ICICI bank,67
120,send_letter,ICICI bank,47
121,never_receive,ICICI bank,25
122,monthly_payment,ICICI bank,11
123,reporting_agency,ICICI bank,98
124,identity_theft,ICICI bank,68
125,phone_number,ICICI bank,32
126,pay_full,ICICI bank,39
127,tell_would,ICICI bank,18
128,file_complaint,ICICI bank,52
129,past_due,ICICI bank,21
130,payment_make,ICICI bank,15
131,credit_bureau,ICICI bank,197
132,remove_credit,ICICI bank,91
133,social_security,ICICI bank,47
134,mortgage_payment,ICICI bank,6
135,please_help,ICICI bank,42
136,several_time,ICICI bank,43
137,credit_file,ICICI bank,93
138,year_ago,ICICI bank,39
139,say_would,ICICI bank,7
140,debt_collection,ICICI bank,20
141,mortgage_company,ICICI bank,6
142,debt_collector,ICICI bank,11
143,collect_debt,ICICI bank,9
144,receive_call,ICICI bank,4
145,try_get,ICICI bank,31
146,short_sale,ICICI bank,2
147,information_credit,ICICI bank,77
148,day_late,ICICI bank,45
149,us_bank,ICICI bank,4
150,credit_report,State bank of india,696
151,credit_card,State bank of india,117
152,make_payment,State bank of india,30
153,customer_service,State bank of india,19
154,credit_reporting,State bank of india,176
155,call_back,State bank of india,15
156,phone_call,State bank of india,15
157,collection_agency,State bank of india,49
158,credit_bureaus,State bank of india,124
159,credit_score,State bank of india,101
160,30_day,State bank of india,96
161,student_loan,State bank of india,41
162,report_credit,State bank of india,107
163,interest_rate,State bank of india,17
164,receive_letter,State bank of india,29
165,loan_modification,State bank of india,3
166,late_payment,State bank of india,49
167,late_fee,State bank of india,4
168,even_though,State bank of india,35
169,would_like,State bank of india,60
170,send_letter,State bank of india,68
171,never_receive,State bank of india,23
172,monthly_payment,State bank of india,14
173,reporting_agency,State bank of india,122
174,identity_theft,State bank of india,82
175,phone_number,State bank of india,41
176,pay_full,State bank of india,37
177,tell_would,State bank of india,7
178,file_complaint,State bank of india,58
179,past_due,State bank of india,39
180,payment_make,State bank of india,19
181,credit_bureau,State bank of india,185
182,remove_credit,State bank of india,94
183,social_security,State bank of india,69
184,mortgage_payment,State bank of india,4
185,please_help,State bank of india,44
186,several_time,State bank of india,36
187,credit_file,State bank of india,96
188,year_ago,State bank of india,26
189,say_would,State bank of india,15
190,debt_collection,State bank of india,18
191,mortgage_company,State bank of india,6
192,debt_collector,State bank of india,19
193,collect_debt,State bank of india,8
194,receive_call,State bank of india,4
195,try_get,State bank of india,33
196,short_sale,State bank of india,6
197,information_credit,State bank of india,104
198,day_late,State bank of india,39
199,us_bank,State bank of india,5
200,credit_report,HDFC bank,70
201,credit_card,HDFC bank,92
202,make_payment,HDFC bank,80
203,customer_service,HDFC bank,52
204,credit_reporting,HDFC bank,16
205,call_back,HDFC bank,44
206,phone_call,HDFC bank,47
207,collection_agency,HDFC bank,1
208,credit_bureaus,HDFC bank,14
209,credit_score,HDFC bank,23
210,30_day,HDFC bank,37
211,student_loan,HDFC bank,18
212,report_credit,HDFC bank,21
213,interest_rate,HDFC bank,54
214,receive_letter,HDFC bank,44
215,loan_modification,HDFC bank,71
216,late_payment,HDFC bank,39
217,late_fee,HDFC bank,29
218,even_though,HDFC bank,54
219,would_like,HDFC bank,46
220,send_letter,HDFC bank,33
221,never_receive,HDFC bank,35
222,monthly_payment,HDFC bank,32
223,reporting_agency,HDFC bank,9
224,identity_theft,HDFC bank,13
225,phone_number,HDFC bank,23
226,pay_full,HDFC bank,16
227,tell_would,HDFC bank,39
228,file_complaint,HDFC bank,28
229,past_due,HDFC bank,25
230,payment_make,HDFC bank,28
231,credit_bureau,HDFC bank,22
232,remove_credit,HDFC bank,8
