Date received,Consumer complaint narrative,Company,Product,Sub-product,Issue,Company public response,State,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,City
4-30-2019,"On  XXXX   XXXX  or around that date, contact ed Harris & Harris re garding collection notice for my daughter  XXXX   XXXX  for date of service  XXXX / XXXX / XXXX  for   XXXX   from  XXXX   XXXX   XXXX . We never received any bills due to an address change. Most recently found out about bill and did investigate it to find out the char ges went to our deductible and we did owe {$150.00}. When we got the notice from Harris & Harris,  I contacted them immediately to inform them that the bill was paid on  XXXX / XXXX / XXXX  and was cashed by  XXXX   XXXX   XXXX  on  XXXX / XXXX / XXXX  which was the date the collection letter was sent out. I informed  XXXX  &  XXXX  of this and told them they needed to go back to  XXXX   XXXX  to talk to them about payment. On Saturday,  XXXX   XXXX ,  XXXX  we receiv ed a more threatening letter from Harris & Harris w arning that they will send a report of bad debt to Credit Bureaus. I am absolutely upset by this because we told them the bill was paid and we continue to get more threatening letters. I plan on calling them again on  XXXX / XXXX / XXXX  to discuss this and also plan on calling  XXXX   XXXX   XXXX  to file a complaint however this type of intimidation is completely uncalled for when there is not debt to collect.",Axis bank LTD,"Money transfer, virtual currency, or money service",Debt settlement,Fraud or scam,Company believes it acted appropriately as authorized by contract or law,Maharashtra,Web,05-02-2019,Closed with explanation,Yes,,2861378,Mumbai
5-23-2019,"I have paid on a consumer credit student loan since XXXX. My school did not accept federal or private loan disbursement of funds. This was living expense. After XXXX for over 10 years I am on XXXX XXXX. Consumer loans earmarked as student loans disbursed directly to me are not dischargable in ch. XXXX bankruptcy. ACS services my loan and ca n't make discussion in regard to discharge, and they will not provide me with the of the bank who owns the loan, who makes those decisions. THE PROMISSORY NOTE HAS BEEN LOST BY THE SERVICER AND THE OWNER OF THE LOAN. THEY HAVE PAGE XXXX AND XXXX. THE TERMS ARE LOST. THEY TELL ME THEY ARE UNDER NO OBLIGATION TO TELL ME ANYTHING. IF I STOP PAYING, I CAN HAVE CONTACT WITH THE OWNER OF THE LOAN. Federal loans are discharged in my situation. In bankruptcy this is no longer a consumer loan. The rules that apply to federal loans would benefit me, but now I found out the XX/XX/XXXX bankruptcy reform only punishes those with a consumer credit loan and does not afford those of us with the private loan the benefits afforded for a federal student loan holder. OF ALL OF THE RULES PERTAINING TO CREDIT, THIS IS THE MOST UNJUST AND INCONSISTENT. THERE IS NO PROTECTION OF THE INDIVIDUAL FROM BANKS WHO CREATE LAWS FOR THEIR BENEFIT. UPON MY DEATH I AM NOT EVEN ALLOWED TO KNOW WHAT WILL BECOME OF THIS LOAN. XXXX XXXX currently claims they hold the loan, but my SERVICER will not confirm or deny. Banks can change legal documents even after agreeing upon the terms and they do n't even have to keep a copy of the promissory note.",Paytm payments bank,"Money transfer, virtual currency, or money service",International money transfer,Money was not available when promised,None,Kerala,Web,05-25-2019,Closed with monetary relief,Yes,,2861963,Thrissur
3-25-2019,Please let me know what company this is. I have no idea what company this is.,punjab national bank,"Money transfer, virtual currency, or money service",International money transfer,Other service problem,None,Andhra Maharashtraadesh,Web,03-25-2019,Closed with explanation,Yes,,2863579,Kurnool
6-21-2019,Was late on auto payment but now I am current. Finance company still showing I 'm 2 months behind. Called to question why it was still showing me as in arrears but was provided with an answer. Was told they could n't help me,ICICI bank,"Money transfer, virtual currency, or money service",Virtual currency,Other service problem,None,Gujarat,Web,06-22-2019,Closed with explanation,Yes,,2747933,Gandhi nagar
3-25-2019,"The creditor XXXX XXXX XXXX XXXX ( aka XXXX ) continues to incorrectly report an account ( XXXX ) on XXXX of my credit bureau reports ( XXXX and Equifax ), even after multiple disputes to have them correct this for the last two years. This closed account is from a former automotive loan. The vehicle was repossessed in XXXX XXXX and went into charge-off status in XXXX XXXX. Further, the account will be 7 years of age since date of first deliquency in XXXX XXXX, and should be removed from my credit bureau reports already, if not soon. Over the last XXXX years, I have spoken with several individuals at XXXX ( last month to a supervisor there ), and each time they agree that it is reporting incorrectly, and each have stated they would get it corrected. The supervisor, XXXX XXXX, has not responded to my voice mails for weeks now. 

Details : Equifax : I previously disputed this more than 2 years ago, and XXXX did not respond to my dispute, so it was deleted. Then, as of XX/XX/XXXX, it was reinserted, but instead of being closed with negative information it is now reporting "" XXXX '' and "" Pays account as agreed '' and shows no former negative account activity. Neither Equifax nor the creditor notified me of this reinsertion per the FCRA law ( which states they have 5 days to do such ). As of XXXX XXXX, XXXX, I 've disputed this with Equifax based on that law, and Equifax has opened another investigation. I 've attached XX/XX/XXXX reports direct from Equifax and also from XXXX showing that this account was not listed under my Equifax data, as well as a XX/XX/XXXX report from XXXX showing it has been reinserted under Equifax. 

XXXX : I 've attached a XXXX XXXX report from XXXX showing the account is "" Open '', was late in XXXX XXXX, a repo in XXXX XXXX, and a CO ( charge-off ) in XXXX XXXX. You 'll see on the same report that XXXX changed the dates on the CO to XXXX XXXX, then to XXXX XXXX, yet reporting "" OK '' many times over the years. This XXXX XXXX report shows "" By XXXX XXXX, this account is scheduled to go to a positive status ''. I 've also attached a XXXX XXXX report showing the payment history as completely different than the XXXX XXXX report. It shows COs of XXXX XXXX, XXXX XXXX, and XXXX XXXX, which do not match the same COs from the XXXX XXXX report, nor does it show the CO from XXXX XXXX, nor any of the XXXX account data as just discussed from the XXXX XXXX report. Each time an "" OK '' or "" CO '' is reported it changes the active status of the account and moves the date of positive status or deletion in the credit file to an additional plus approx. 7 years. This XXXX XXXX report shows "" This account is scheduled to continue on record until XXXX XXXX. "", also different. 

XXXX : On my XXXX XXXX, XXXX XXXX report, you 'll see this account is listed in my XXXX data. However, you 'll see in my XXXX XXXX XXXX, XXXX report showing this account was deleted ( see the bottom of page XXXX of the report ). You 'll also see that it has not showed back up in my XXXX XXXX report. I 've also attached a XXXX XXXX report showing the same XX/XX/XXXX and XX/XX/XXXX proper account history data, which compares correctly to the XXXX XXXX XXXX report. 

Summary : - XXXX : The data should only show that this account is closed and a charge-off, that it went 30 days late in XXXX XXXX, an "" R '' ( repossession ) in XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, and XXXX XXXX, and then a CO ( Charge-Off ) in XXXX XXXX. It will be 7 years from date of first deliquency as of next month, and should be fully removed no later than then, if not already, just like it has already been removed from my XXXX data. 

- Equifax : Per the FCRA law, this account was reinserted into my Equifax data without proper notification to me, and should be promptly removed. 

- XXXX : This account was already removed from my XXXX data, so no further action there needs to be done.",IDBI Bank,Bank account or service,Checking account,Problems caused by my funds being low,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Kerala,Referral,03-26-2019,Closed with explanation,Yes,No,2411157,Kochi
11-20-2019,"Hello, I am sending this email in the hopes of finding some assistance for my mother XXXX yr. old mother, XXXX XXXX XXXX My mother currently has had a reverse mortgage for the last 4-5 yrs. The mortgage company wants foreclose on the property because there was a lien placed on the property in the amount of {$27000.00}. The mortgage company paid the money without contacting her to find out if it was owed or before getting any information so now they started foreclosure proceedings. Obviously, my mother nor anyone in our family can afford to re-pay the {$27000.00}. I do n't know if this is legal. 

I have been researching to come up with an alternative to foreclosure. I thought possibly refinancing the reverse mortgage or negotiating a re-payment plan with the mortgage company but are in desperate need of any/all assistance we can get in attempting to delay or stop the foreclosure proceedings. 

Please Help if you can. Thank you.",State bank of india,"Money transfer, virtual currency, or money service",Check cashing service,Unexpected or other fees,None,Karnataka,Referral,11-21-2019,Closed with explanation,Yes,,2864125,Mysore
7-21-2019,"This is a complaint regarding items I disputed that does not belong to me. I thought according to law all credit bureaus investigate items on your credit that you are disputing the same. However, comparing my credit reports it shows different results. XXXX removed XXXX items that did not belong to me. But Experian stated, verified. How could that be? It seems that Experian waits and holds on to the dispute for 30 days w/o properly verifying and then after 30 days just say, it was verified w/o actually verifying. The following items is not mine listed below. 

XXXX ( XXXX ) XXXX XXXX ( XXXX ) I have attached a copy of my XXXX report, stating these XXXX items has been deleted. I would like Experian to follow suit and delete these XXXX items.I have attached the copy of my XXXX report so you can see the proof. 

Also, I have a letter from XXXX on XXXX credit items that is reporting negatively on my credit report and XXXX informed the credit bureau to REMOVE the account and failed to do so. I have attached a letter for that as well. 

XXXX ( XXXX )",HDFC bank,"Money transfer, virtual currency, or money service",Virtual currency,Other transaction problem,None,Maharashtra,Web,07-23-2019,Closed with explanation,Yes,,2719811,Pune
7-26-2019,"I applied for a refinance of my home mortgage with XXXX XXXX XXXX ( company based in Arizona ). I started this process in XXXX of 2014. To date, they have failed to complete the transaction. There have been multiple issues along the way. First, I was told that I would be able to combine my XXXX and XXXX mortgage at a rate of 4 %. After being told that, I started the application process. Shortly after that, I was told the combined loan was not available because I have made a withdrawal from my Home Equity Line of Credit ( HELOC ) in the last year. I had disclosed that fact prior to this time and I was told that an exception would be made because the overall balance on the line of credit had decreased over time ( in other words, I had paid back more on the line that I had taken out ). Even still, I was denied the original offer ( made by XXXX XXXX ). We then proceeded to refinance my primary loan to a rate of 4 %. During this process, there were delays on the part of XXXX XXXX XXXX. They failed to clear their own XXXX XXXX in a timely fashion that resulted in the appraisal of the subject property to expire. By that time, the lender in question had rescinded their offer of 4 %. Instead, a rate of 4.25 % was offered. I was then told that a second lender ( XXXX XXXX ) had offered to refinance the primary loan at 4 %. The process was started again, with a XXXX appraisal. As of today, I was told that upon final review before closing that 4 % was no longer available. Again, I was offered 4.25 %. 

The whole process seems fraudulent to me. A way to delay the process such that loans with best rates are delayed so that they are cleared to close only when rates go up. How can a company take 7 month to process a loan?",karur Vyasa bank,"Money transfer, virtual currency, or money service",Domestic (US) money transfer,Money was not available when promised,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Sikkim,Web,07-26-2019,Closed with explanation,Yes,,2792441,Gangtok
4-26-2019,"My wife and I received a letter from XXXX XXXX XXXX of Global Home Finance stating that he could finance us a house with a 3.990 % on a 30 yr. fix rate so I called him at # XXXX ext XXXX .I told him that I needed a realtor, so he put me in touch with XXXX XXXX XXXX. # XXXX to help us find a House, I told him that I was a Veteran and that I wanted to use my VA loan 100 % financing and he said that I could and I got with XXXX and she found us a house at XXXX tx XXXX told us that we had to have {$1500.00} earnest money and I said that I thought this was 100 % financing, she said that they was just going to hold the money until we close on the house and then I will get it back, so I wrote her a XXXX check to the Title company as earnest money, then she said that I had to pay {$350.00} for inspection fee, I paid that. Then XXXX told me that I had to pay {$570.00} for appraisal fee I paid it off of my Credit Union card, as time went my truck broke down on me and I had to get a little car to drive to and from work and I called XXXX and ask him was that going to hinder me from getting the house, he said no and that they could work around it, so I stated ok lets go on then, then they said that the owner had to repair some things on the house and that we was going to close on XX/XX/XXXX and problems started to occur, and the owner was requested to repair more on the house and the week we was suppose to close on the house, my wife and I starting packing because they said that we had the house. Then XXXX stated that he was going on vacation and that his team members can help me close on the house and that everything look good ..then XXXX XXXX XXXX. spoke with me after they had me to sign the Documents and said that everything was good and that we could close on the XX/XX/XXXX then the day before closing he called back and stated that I could not close because I had to pay the car off at XXXX ... and I stated that you guys told me that everything was good and he said that he could not finance me at 3.990 % but that he had to go up 4.125 % or something then he debited my Credit card without my authorization for {$200.00} I called the Credit Union and they said that Global Finance credited my card I told them that I did not consent to that ... and the man said that he would block the card so that they could not credit it again ... Then I asked XXXX if I could get my earnest money or all of my money back and she stated no they are not going to give your money back ... and I told her that it was not my fault and they agreed to that, then she stop talking to me and I called XXXX to confront him again about the situation and he hung the phone up in my face because I asked him who told him to credit my card..so I want to know if I can get some of my money back .... 
Kindest regards, XXXX phone # XXXX",Syndicate bank,Bank account or service,Checking account,Deposits and withdrawals,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Goa,Web,04-28-2019,Closed with explanation,No,No,2368542,Panaji
5-20-2019,"I received a payday loan from castle pay day and paid {$370.00} I called on XXXX/XXXX/2015 and asked what I needed to pay to pay off loan in XXXX payments. I was told I could pay XXXX on XXXX and next pay XXXX in next two weeks. Then I was contacted an hour later and was told that I would need to pay another XXXX. 
I do n't have a problem with paying off the XXXX however I do n't think it 's fair to pay twice as much from what I borrowed.",Yes bank,Bank account or service,Other bank product/service,"Account opening, closing, or management",None,Himachal Maharashtraadesh,Web,05-21-2019,Closed with explanation,Yes,Yes,1864415,Shimla
